Question	1	2	3	4	5	6
1 - What is path of knowledge? What is its goal?	It is one of the spiritual paths where goal is destruction of ignorance.	We get all wishes fulfilled here, that is the only goal	It is a lifestyle, where knowledge is gained for success.	It is a way which leads to liberation of the person.	It is a useless activity, only superstition nothing else	A path to obtain knowledge of the entire existence. It's goal is knowledge in and of itself.
2 - What is knowledge?	When interrelations are formed between experiences that are logical and consistent,  results in knowledge . Knowledge and information are different in that knowledge is obtained via direct experience and logic, while information can be obtained through sources other than our direct experience and logic, such as books or Gurus.	Information that can be trusted is knowledge 	Knowledge is information gained by reading textbooks, scriptures.	knowledge is information gained directly from authentic sources like scientists, experts etc.	Whatever Guru says is knowledge.	Whatever the education system teaches is knowledge 
3 - Which qualities can be cultivated, which ones cannot be cultivated?	critical thinking, intelligence, and attention can be cultivated. Curiosity can not be cultivated. 	curiosity can be developed, intelligence can not	critical thinking and a desire for knowledge can be cultivated, intelligence can not	knowledge can be cultivated, wisdom can not	attention can be cultivated, awareness can not	no qualities can be cultivated, a seeker arrives with a fixed set of qualities
4 - Why is all that changes false?	All that changes is false because the criterion for truth is that which is unchanging	All that changes is not false	Change implies impermanence. it will not remain, that's why it's false.	That which changes is an illusion, therefore it is not what it seems	All that changes is unreliable and ultimately false	There is no true or false
5 - If knowledge comes from experience, which is false, how can we say that it is knowledge?	Knowledge is subtractive and nothing is ultimately gained.	Knowledge of the false Illusion is necessary for self-realization.	Even though Experience is false, the brain stores Experience in Local Memory and we refer to that as knowledge.	The Experiencer gains knowledge of itself through false, illusory forms which leads to self-realization.	Books and Guru's impart knowledge through their Experience and if it fits with our direct experience, we then can call it knowledge.	Not all experience is false. The one and only true experience is self-realization, and that is knowledge.
6 - Why is the experiencer limited by experience?	The Experiencer can never be limited by Experience.	Since the Experiencer and Experience are one, they are both limited by the senses.	For survival purposes.	The Existence can only appear to itself through a limited Experiencer	The Experiencer desires form. Thus the formless takes the form of the Experience	Nothing can be known unless the Experiencer is limited by Experience
7 - What is the definition of nature? What happens when it changes?	Nature is the most fundamental essence of something. If it changes, it is not the nature.	Nature is the natural occurence of vibration. When it changes, structures in the memory form.	Nature is the most fundamental essence of something. If it changes, the nature can never be known.	Nature is the phenomenon of the physical world. When it changes, life emerges.	Nature is the phenomenon of the physical world. When it changes, the systems entropy increases	Nature is truth. Truth can never change.
8 - Experiencer knows itself via many forms, but why does it need so many forms when it can know itself with one form?	The Experiencer is formless and has no need for form.	To gain knowledge best suitable for it's survival as an individual.	Because form is impermanent, it must identify with infinite forms to know itself	It must obtain many different view points to view the entirety of it's creation	This question falls under the category of unknowable and is thus unanswerable	It only requires one form, which is the causal body in order to know itself.
9 - Establish the illusory nature of all forms.	The essence of form is emptiness and forms do not exist independently. The water appears as a wave but is not separate from it.	All forms are not illusory	Since all is illusion so all forms are illusory	That which changes is untrue, therefore it is an illusion.	All forms are creations of the Experiencer and as creations they are illusory.	It is impossible to establish the illusory nature of all forms
10 - How can we say there is only one experiencer?	If they are many then they must be witnessed. As soon as they are witnessed, they become experience and the one who witnesses them becomes the Experiencer. With this logic, it's impossible to have more than one Experiencer.	We can't say there is only one Experiencer as each person has their own Experiencer.	Because we have not seen it and because other people say, it really must be only one.	We can not say there is only one experiencer.	There is not even one Experiencer, there are no Experiencers.	Each person shares the same Experiencer which is transmitted through our senses.
